# table	grantee	privileges
hr_reviews	anon	REFERENCES,TRIGGER,TRUNCATE
hr_reviews	app_user	DELETE,INSERT,SELECT,UPDATE
hr_reviews	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_reviews	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_reviews	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_survey_responses	anon	REFERENCES,TRIGGER,TRUNCATE
hr_survey_responses	app_user	DELETE,INSERT,SELECT,UPDATE
hr_survey_responses	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_survey_responses	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_survey_responses	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_surveys	anon	REFERENCES,TRIGGER,TRUNCATE
hr_surveys	app_user	DELETE,INSERT,SELECT,UPDATE
hr_surveys	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_surveys	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_surveys	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_balances	anon	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_balances	app_user	DELETE,INSERT,SELECT,UPDATE
hr_time_off_balances	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_balances	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_time_off_balances	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_policies	anon	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_policies	app_user	DELETE,INSERT,SELECT,UPDATE
hr_time_off_policies	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_policies	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_time_off_policies	service_role	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_requests	anon	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_requests	app_user	DELETE,INSERT,SELECT,UPDATE
hr_time_off_requests	authenticated	REFERENCES,TRIGGER,TRUNCATE
hr_time_off_requests	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
hr_time_off_requests	service_role	REFERENCES,TRIGGER,TRUNCATE
invoice_lines	anon	REFERENCES,TRIGGER,TRUNCATE
invoice_lines	app_user	DELETE,INSERT,SELECT,UPDATE
invoice_lines	authenticated	REFERENCES,TRIGGER,TRUNCATE
invoice_lines	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
invoice_lines	service_role	REFERENCES,TRIGGER,TRUNCATE
invoices	anon	REFERENCES,TRIGGER,TRUNCATE
invoices	app_user	DELETE,INSERT,SELECT,UPDATE
invoices	authenticated	REFERENCES,TRIGGER,TRUNCATE
invoices	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
invoices	service_role	REFERENCES,TRIGGER,TRUNCATE
jobs	anon	REFERENCES,TRIGGER,TRUNCATE
jobs	app_user	DELETE,INSERT,SELECT,UPDATE
jobs	authenticated	REFERENCES,TRIGGER,TRUNCATE
jobs	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
jobs	service_role	REFERENCES,TRIGGER,TRUNCATE
journal_entries	anon	REFERENCES,TRIGGER,TRUNCATE
journal_entries	app_user	DELETE,INSERT,SELECT,UPDATE
journal_entries	authenticated	REFERENCES,TRIGGER,TRUNCATE
journal_entries	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
journal_entries	service_role	REFERENCES,TRIGGER,TRUNCATE
journal_entry_lines	anon	REFERENCES,TRIGGER,TRUNCATE
journal_entry_lines	app_user	DELETE,INSERT,SELECT,UPDATE
journal_entry_lines	authenticated	REFERENCES,TRIGGER,TRUNCATE
journal_entry_lines	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
journal_entry_lines	service_role	REFERENCES,TRIGGER,TRUNCATE
payment_allocations	anon	REFERENCES,TRIGGER,TRUNCATE
payment_allocations	app_user	DELETE,INSERT,SELECT,UPDATE
payment_allocations	authenticated	REFERENCES,TRIGGER,TRUNCATE
payment_allocations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payment_allocations	service_role	REFERENCES,TRIGGER,TRUNCATE
payments	anon	REFERENCES,TRIGGER,TRUNCATE
payments	app_user	DELETE,INSERT,SELECT,UPDATE
payments	authenticated	REFERENCES,TRIGGER,TRUNCATE
payments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payments	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_deduction_definitions	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_deduction_definitions	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_deduction_definitions	authenticated	REFERENCES,TRIGGER,TRUNCATE
payroll_deduction_definitions	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
payroll_deduction_definitions	service_role	REFERENCES,TRIGGER,TRUNCATE
payroll_employee_deductions	anon	REFERENCES,TRIGGER,TRUNCATE
payroll_employee_deductions	app_user	DELETE,INSERT,SELECT,UPDATE
payroll_employee_deductions	authenticated	REFERENCES,TRIGGER,TRUNCATE
