# table	constraint	type	definition
hr_company_news	hr_company_news_post_type_check	c	CHECK ((post_type = ANY (ARRAY['announcement'::text, 'recognition'::text, 'event'::text, 'policy_update'::text, 'milestone'::text])))
hr_company_news	hr_company_news_status_check	c	CHECK ((status = ANY (ARRAY['draft'::text, 'published'::text, 'archived'::text])))
hr_company_news	hr_company_news_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_emergency_contacts	hr_emergency_contacts_pkey	p	PRIMARY KEY (id)
hr_emergency_contacts	hr_emergency_contacts_tenant_id_contact_id_key	u	UNIQUE (tenant_id, contact_id)
hr_emergency_contacts	hr_emergency_contacts_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_employee_documents	fk_hr_employee_documents_employee_id	f	FOREIGN KEY (employee_id) REFERENCES employees(id)
hr_employee_documents	hr_employee_documents_pkey	p	PRIMARY KEY (id)
hr_employee_documents	hr_employee_documents_tenant_id_document_id_key	u	UNIQUE (tenant_id, document_id)
hr_employee_documents	hr_employee_documents_tenant_id_fkey	f	FOREIGN KEY (tenant_id) REFERENCES tenants(id) ON DELETE CASCADE
hr_employment_history	fk_heh_compensation	f	FOREIGN KEY (compensation_id) REFERENCES compensation_base(id)
hr_employment_history	fk_heh_employee	f	FOREIGN KEY (employee_id) REFERENCES employees(id) ON DELETE CASCADE
hr_employment_history	fk_heh_manager	f	FOREIGN KEY (manager_id) REFERENCES employees(id)
hr_employment_history	fk_heh_prev_manager	f	FOREIGN KEY (previous_manager_id) REFERENCES employees(id)
hr_employment_history	hr_employment_history_change_type_check	c	CHECK ((change_type = ANY (ARRAY['hire'::text, 'promotion'::text, 'lateral_move'::text, 'demotion'::text, 'transfer'::text, 'title_change'::text, 'manager_change'::text, 'location_change'::text, 'fte_change'::text, 'status_change'::text, 'compensation_change'::text, 'rehire'::text, 'termination'::text])))
hr_employment_history	hr_employment_history_pkey	p	PRIMARY KEY (id)
hr_employment_history	hr_employment_history_reason_check	c	CHECK ((reason = ANY (ARRAY['new_hire'::text, 'promotion'::text, 'cost_of_living'::text, 'market_adjustment'::text, 'merit_increase'::text, 'reorganization'::text, 'employee_request'::text, 'performance'::text, 'role_change'::text, 'relocation'::text, 'other'::text])))
