# table	grantee	privileges
ticketing_attachments	app_user	INSERT,SELECT,UPDATE
ticketing_attachments	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
ticketing_business_areas	app_user	INSERT,SELECT,UPDATE
ticketing_business_areas	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
ticketing_tickets	app_user	INSERT,SELECT,UPDATE
ticketing_tickets	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
ticketing_updates	app_user	INSERT,SELECT,UPDATE
ticketing_updates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
time_tracking_billable_expenses	app_user	INSERT,SELECT,UPDATE
time_tracking_billable_expenses	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
time_tracking_entries	app_user	INSERT,SELECT,UPDATE
time_tracking_entries	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
time_tracking_hourly_rates	app_user	INSERT,SELECT,UPDATE
time_tracking_hourly_rates	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
time_tracking_timesheets	app_user	INSERT,SELECT,UPDATE
time_tracking_timesheets	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
translations	app_user	INSERT,SELECT,UPDATE
translations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
v_upcoming_celebrations	app_user	INSERT,SELECT,UPDATE
v_upcoming_celebrations	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
vendors	app_user	INSERT,SELECT,UPDATE
vendors	postgres	DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE
